id,text,label,n_tokens,n_chars,source_split,source_index,notes
ts_000042,"Scarecrow would never forget his strong little friend. He flew back down to the field, entered the ashtray and continued with his walk. And the little girl went back home with a big smile!",,38,188,train,9211,keywords=never
ts_000043,"â€œYou did it!"" They cheered. The young girl was proud of herself and gave the medal a big hug. From that day forward, she never stopped believing in herself.",,36,158,train,9213,keywords=never
ts_000044,"It said, ""Yes please!"" The sweet little frog had never been so excited in his life. He jumped up and down, shouting ""Yay!"" And that's how the little frog went on an adventure in his new boat. He explored all kinds of places and had lots of wonderful experiences.",,60,262,train,9215,keywords=never
ts_000045,"""I found it!"" he cried. Joey put the medal back safely around his neck, and then he and his mom went home. The end.",,31,115,train,9260,keywords=cried
ts_000046,"Tim was happy that Spot was not scared anymore. They all played on the ice together and had lots of fun. Tim said, ""Thank you, Sue!"" Sue smiled and said, ""You're welcome, Tim!"" And they all played together until it was time to go home.",,58,235,train,9359,keywords=scared
ts_000047,"The note said, ""License to eat cookies: Mom."" Tim felt sad because he did not have a license to eat the cookies. Tim and Sam went to Mom and asked, ""Can we have a license to eat cookies?"" Mom smiled and said, ""You can have one cookie each, but only after dinner."" The boys were happy and waited for dinner to be over. After dinner, they got their cookies and enjoyed them together.",,91,381,train,9372,keywords=sad|did not;too_long
ts_000048,"She felt sad and wished she had taken the time to polish her camera lens before taking pictures. The moral of the story is that sometimes, it's important to be patient and take the time to do things right. Like polishing your camera lens before taking pictures.",,51,261,train,9579,keywords=sad
ts_000049,"Lily made new friends and felt less lonely. The moral of the story is that it's important to introduce yourself and be kind to others. You never know who might be feeling weak and lonely, and a simple act of kindness like sharing popcorn can make a big difference.",,53,264,train,9587,keywords=never
ts_000050,"Lily saw lots of colorful floats and happy people dancing. She forgot all about being tired and had so much fun. When it was over, they went home and Lily fell asleep dreaming of the fun festival.",,41,196,train,9637,keywords=fell
ts_000051,"I should have listened."" Her mom hugged her and said, ""It's okay, Sue. We can clean it up together. Next time, remember to play carefully."" And they cleaned up the broken vase together.",,44,185,train,9712,keywords=broken
ts_000052,"Would you like to come and help?â€ Polly smiled and knew the pick had brought her luck. She said, â€œYes, of course I can help!â€ Since that day, Polly has gone to the pick garden every day. She takes good care of it and still enjoys her shiny pick.",,60,249,train,10062,keywords=gone
ts_000053,"The night was gone, and a new day was here. The morning air was fresh and the sun was bright. Everything was back to normal and people could start their day.",,35,157,train,10109,keywords=gone
ts_000054,"He had a wonderful time playing and exploring the park, learning about its hidden gems. After a long day, the blue bird flew away feeling proud and successful. He had gone on an amazing adventure and he would never forget it.",,46,225,train,10113,keywords=never|gone
ts_000055,"We'll find a roof to keep us dry."" When they finally made it home, Johnny was exhausted, wet, and sad. Mommy said, ""It's time to take off the leash, Johnny."" Johnny knew this was the end of their walk, and he was sad. He wished he'd stayed in the park to enjoy all the tasty snacks.",,70,282,train,10176,keywords=sad;too_long
ts_000056,"She thanked the fairy and skipped away, delighted with her newfound wealth. The fairy watched the little girl go and smiled. He would never forget the pure joy on her face.",,35,172,train,10192,keywords=never
ts_000057,"The bird showed the boy a shiny toy on a high branch. The boy tried to climb the tree, but he fell down and hurt his leg. The wild bird flew away, and the boy was left alone, still sad and now with a hurt leg.",,52,209,train,10243,keywords=sad|alone|hurt|fell
ts_000058,But then Lily's mom told her some bad news. Sarah had to go away and wouldn't be coming back to teach Lily anymore. Lily was very sad and didn't know what to do without her amazing tutor.,,40,187,train,10321,keywords=sad
ts_000059,"But then her little brother came and accidentally stepped on the flower. Lily was sad and asked her brother, ""Why did you do that?"" He said, ""I didn't know. I'm sorry."" They hugged and made up, and Lily decided to bury the flower and see what would grow next.",,61,259,train,10355,keywords=sad|sorry
ts_000060,"Sue gave the pick to the boy. The boy was happy and said, ""Thank you!"" Sue felt good about doing the right thing. The moral of the story is to always do what is right, even if it makes you sad.",,49,193,train,10406,keywords=sad
ts_000061,"In the end, the bird flew away with Zero and Tiny. They never got to play together again. Zero learned that being weird can be dangerous, and he wished he could go back to being with his friends.",,43,195,train,10534,keywords=never
ts_000062,Something she'd never seen before. She finished her drawing with one final stroke and smiled with satisfaction. She had completed her beautiful work!,,26,149,train,10618,keywords=never
ts_000063,"She just kept staring at it until the waves covered it up. The little girl never forgot about the ancient hand. She would go back to the beach every day and stare at the ocean, hoping one day she would see the beautiful hand again.",,49,231,train,10789,keywords=never
ts_000064,"Sara giggled and hugged her mommy. Mommy and Sara stayed together, hugging and laughing. It was a very special moment that they would never forget.",,29,147,train,10814,keywords=never
ts_000065,"Annie explored the garden for hours and when it was time to go home, she closed the door behind her. She was sad to go, but happy that she had such an amazing adventure. The end.",,41,178,train,10856,keywords=sad
ts_000066,"After a while, Lily's brother said, ""Let's burn this paper!"" Lily said, ""No, we can't burn things, it's not safe."" Her brother said, ""But I want to see fire."" Lily said, ""Fire can hurt us and burn things we love."" Her brother said, ""Okay, let's not burn things. But I want to be independent."" Lily said, ""What does independent mean?"" Her brother said, ""It means we can do things on our own without help."" Lily said, ""Oh, I understand. But we should always be safe and careful.""",,126,477,train,10969,keywords=hurt;too_long
ts_000067,"The veterinarian checked Max's paw and gave him some medicine to make it feel better. Max's owner sighed with relief and took him back home. From then on, Max was careful when he played outside so he wouldn't hurt his paw again.",,46,228,train,11281,keywords=hurt
ts_000068,It was soft and soothing. They fell asleep in their mom's arms. They dreamed of sunny days and new balls.,,23,105,train,11322,keywords=fell
ts_000069,"He had been too excited to resist the sweet temptation and now his most delicious surprise had been ruined. No matter how hard he tried, he couldn't rescue his prize. He laid his head down sadly, knowing his tasty treat was gone forever.",,48,237,train,11528,keywords=gone
ts_000070,"He had worked very hard for the cookie and was very sad when he realized he had won something that tasted bad. The little boy was very sad, but he did learn from his experience. He learned that being too curious could have bad endings.",,49,235,train,11548,keywords=sad|bad ending
ts_000071,"The people smiled and hugged each other. They were so glad the man had come to replace the sad house. From then on, the house was always happy.",,32,143,train,11578,keywords=sad
ts_000072,"The girl never saw the butterfly again, but she continued to stare at the tap long after the sun went down. Finally, she realised that stillness and patience can sometimes lead to a greater reward than any fluttering wings or magical taps ever could. The moral of this story; stillness and patience can lead to greater rewards.",,63,327,train,11590,keywords=never
ts_000073,"Soon it was time to go inside, and the two boys went off to their classrooms together. Jack felt a lot better. He knew he could never replace his backpack, but he had started something new and amazing.",,43,201,train,11727,keywords=never
ts_000074,"Mary was so pleased her family liked her present and was happy she could keep the cup. Whenever she looked at it, she thought of the day she found it and how grateful her family were. From that day on, she never wanted to skip without it.",,52,238,train,11755,keywords=never
ts_000075,"But when the child wanted to leave the forest with the animal, a big hunter jumped out of the bushes. He said, ""I will make this animal my dinner!"" The animal was so scared and ran away as fast as it could. The child was very sad and never saw the green animal again.",,62,267,train,11769,keywords=sad|never|scared
ts_000076,"They are not for playing. They are for spiders."" Ben and Lily nodded and said, ""Yes, mom."" They learned their lesson. They never touched the cobwebs again.",,37,155,train,12212,keywords=never
ts_000077,"Jack thanked the friendly monster and continued walking down the street. From then on, Jack never stopped believing in the power of friendship. He knew that even a rude noise can be made into something fun and enjoyable.",,42,220,train,12296,keywords=never
ts_000078,"The glass crashed on the ground and the caterpillar ran away! John started to cry because he was so sad but he soon realized that it was ok, as the caterpillar was free now. John was so glad he was able to help the caterpillar and although he was sad that he couldn't take it home with him, he felt a sense of contentment knowing that he had done the right thing.",,77,363,train,12438,keywords=sad|cry;too_long
ts_000079,She gave him a big hug and told him to never play that game again. So Paul promised and he never did. The end.,,27,110,train,12547,keywords=never
ts_000080,They wished they had never been curious about the candy truck. They did not know where the man was taking them or what he would do to them. They had a bad ending.,,36,162,train,12603,keywords=bad ending|never|did not
ts_000081,"Her mom was so sad and worried. The moral of the story is to always listen to your parents and not do dangerous things. Even if something seems fun, it's not worth getting hurt.",,38,177,train,12900,keywords=sad|hurt
ts_000082,Timmy was sad that he couldn't play with his friends anymore. He couldn't sing or play with his toys either. Timmy learned that accidents can happen and it's important to be careful.,,35,182,train,12953,keywords=sad
ts_000083,"Spot was sad and bored again. Finally, they arrived back home and Spot was happy to be inside where it was warm. He curled up on his bed and fell asleep, dreaming of running and playing without a leash.",,44,202,train,13202,keywords=sad|fell
ts_000084,"Timmy's mom took him to the dentist, who gently wiggled the tooth until it came out. Timmy was surprised that it didn't hurt at all! The moral of the story is that it's okay to be anxious about something, but there are always people who can help you solve the problem.",,56,268,train,13377,keywords=hurt
ts_000085,She will be careful of animals that can hurt her. She will listen to signs and her dad. The end.,,23,96,train,13455,keywords=hurt
ts_000086,"We can make different colors and shapes on the wall."" Tom and Mia hug and say, ""We are sorry. We are friends."" They play with the laser and the crayon and have fun. They learn to share and wonder about the world.",,51,212,train,13678,keywords=sorry
ts_000087,"Max was sad and confused. He tried to tell the man he was sorry, but the man did not listen. Max walked home with a heavy heart, not knowing what he did wrong.",,38,159,train,13732,keywords=sad|sorry|did not
ts_000088,"After playing, they went home and had a yummy dinner. Lily was so tired that she fell asleep right away. She dreamt about the see-saw and how much fun it was to weigh the sides.",,41,177,train,13779,keywords=fell
ts_000089,The hot air had burned her lungs too badly. Lily didn't make it. Her mom was very sad and wished Lily had remembered her promise.,,28,129,train,13796,keywords=sad
ts_000090,"But then, the next morning, she woke up to find that the vest was back in her sack! Kayla was so happy! She thanked her lucky stars and never went anywhere without her sack again.",,40,179,train,13802,keywords=never
ts_000091,He now knew that he didn't have to be alone on the path to success. He could ask for help when he needed it. He thought of the old man's compassionate,,33,150,train,13851,keywords=alone
ts_000092,What she had done was wrong and mummy was unhappy. Bella never did it again and she learnt her lesson. She loved her mummy very much and never wanted to do anything that would make her unhappy again.,,41,199,train,13880,keywords=never
ts_000093,"Together, Anne and the mole dug deep holes around the garden. They had lots of fun, and when they were all done, Anne said goodbye to her new friend and went back inside. Anne never felt lonely in her garden again.",,47,214,train,14036,keywords=never
ts_000094,He lay down on the grass and went back to his favourite thing: chewing his food. He was glad that he was safe and that he hadn't had to face the emergency alone. He was a brave and a cute bear!,,45,193,train,14037,keywords=alone
ts_000095,"Timmy didn't know what to do and ran home to get his mom. Sadly, Lily had to go to the hospital and couldn't skip or eat fruit for a while. She learned to be careful and only pick good fruit from then on.",,47,204,train,14122,keywords=hospital
ts_000096,"Sadly, Timmy died that day. The moral of the story is that it's important to always ask for help when we need it. We should never be afraid to ask for help, especially when it comes to our safety.",,44,196,train,14161,keywords=never|afraid
ts_000097,"Lily was so happy to have her doll back. Her mom told her, ""Remember, when you have a problem, don't be afraid to ask for help. Together we can solve anything."" Lily nodded her head and hugged her mom, feeling happy and grateful.",,53,229,train,14175,keywords=afraid
ts_000098,They decide to never play with the rope again. They play with Spot's toys instead. They have fun and take good care of Spot.,,27,124,train,14233,keywords=never
ts_000099,They hugged each other and said they were sorry. They hoped their mom would forgive them and love them again. They learned their lesson and never touched the ornaments again.,,33,174,train,14270,keywords=never|sorry
ts_000100,"Why don't you go and find the boy and say you are sorry and ask him if he wants to play with your bear?"" Lily nodded and said, ""Okay, mom. I will try."" She took her bear and ran after the boy. She hoped he would forgive her and be her friend.",,62,242,train,14312,keywords=sorry
ts_000101,"The pine tree felt very bad. It wanted to be like the other trees, but it could not. The pine tree stayed sad and never bloomed.",,30,128,train,14507,keywords=sad|never|could not
ts_000102,"Tim was sad and hurt. He went home, and the tree was not popular anymore. The birds did not come back to stand and sing in the tree again.",,33,138,train,14544,keywords=sad|hurt|did not
ts_000103,"His friends were very sad because they could not save him. In the end, the large ice bear melted away, leaving only a puddle of water. His friends cried and missed the love and fun they had with the large ice bear.",,47,214,train,14617,keywords=sad|could not|cried
ts_000104,"They all tried to help the frog, but the mosquito was too fast. The mosquito bit all the frog's friends too. In the end, the mosquito won and the frog and his friends were very sad.",,41,181,train,14646,keywords=sad
ts_000105,"Lily's mom had to come and cut the mitten off with a sharp pair of scissors. Lily was sad because she loved her mittens, but now one was fake because it had a hole in it. From that day on, Lily always listened to her mom's warnings and never touched anything sharp again.",,58,271,train,14687,keywords=sad|never
ts_000106,"They both said, â€œThat was fun! I'm so happy.â€ They hugged and went outside to play. The popcorn was gone, but they still had happy memories.",,34,143,train,14924,keywords=gone
ts_000107,"Anna was so happy! From then on, Anna always kept the drawer open so her new friends could come and go whenever they wanted. And the kitchen was never gloomy anymore.",,35,166,train,15000,keywords=never
ts_000108,"Rosie was so happy and enjoyed the carrot so much that she realized it's okay to ask for what you want. She learned that it's important to speak up and not be shy. From that day on, Rosie wasn't afraid to ask for things she wanted and she made many more friends.",,56,262,train,15115,keywords=afraid
ts_000109,"So the cow joined the group of friendly animals and they all ate beef together. From then on the cow was never alone, and she never went back to the broken barn. She was very happy in her new home!",,44,197,train,15479,keywords=broken|never|alone
ts_000110,"This time, everyone listened and quickly ran away. The earthquake was strong and fierce but no one was hurt. The people were thankful and decided to never punish someone who couldn't hear again.",,37,194,train,15519,keywords=never|hurt
ts_000111,"Its leaves vanished and became ashes that flew away in the wind. The tree was gone, but now its spirit flew around in the air. The ancient tree will never be forgotten, because its ashes still fly in the wind.",,45,209,train,16027,keywords=never|gone
ts_000112,"She realized that the light still existed, even when the world was dark. Jenny opened the door to the couch many times after that, and each time the light grew brighter and brighter. Soon, the dark world she had seen filled with color and happiness, and Jenny was never scared of the gloom again.",,61,296,train,16059,keywords=never|scared
ts_000113,"The heavy cloud was still in the sky, but the sun was starting to come out and soon it was gone. They smiled and played in the warm sunshine. Jane thought that a muffin could really make everything better.",,43,205,train,16116,keywords=gone
ts_000114,"Jimmy took time to make sandcastles and feel the waves crashing against his feet. He was so happy that he had arrived at this wonderful place. Even when it was time to head back home, Jimmy vowed to never forget the brilliant shore.",,47,232,train,16211,keywords=never
ts_000115,"He began to play with it, and soon enough, the fog had gone away. Everything was perfect! Sam was so glad that he wasn't delayed anymore.",,31,137,train,16356,keywords=gone
ts_000116,"Little by little, the storm began to settle and the sky got brighter again. Joe was happy that he was able to see the amazing storm and that he hadn't been too scared to venture out of the house. He learned a valuable lesson that day â€” to never be too shy to explore and try new things.",,63,288,train,16390,keywords=never|scared
ts_000117,The twins were very happy and hugged each other again. They had a very special day! They both agreed to never forget their magical experience.,,28,142,train,16427,keywords=never
ts_000118,Timmy's mom was very sad. She knew that Timmy was in a distant place now and would never come back. She missed him very much and wished that he had never shaken that tree.,,37,171,train,16540,keywords=sad|never
ts_000119,She wished she had never gone outside. She wished she had never tried to improve her journal. She wished she had been a good girl.,,28,130,train,16746,keywords=never|gone
ts_000120,She did not know how to be nice to Tom. She did not understand his way of playing. She wished she had a fire truck too.,,29,119,train,16747,keywords=did not
ts_000121,"She decided to grab the pen that was on it and run away. Suddenly, her dad saw her and yelled ""What do you think you are doing in my office?"" Jackie was so embarrassed, she quickly put the pen back and ran out of the room. She was never supposed to go into her dad's office ever again!",,66,285,train,17145,keywords=never;too_long
ts_000122,"After a while, he woke up feeling energised and happy, ready to go out and dance through the trees again. The bear never forgot that unusual nap, and whenever he felt tired, he stopped and had a nap on the rainbows again. And meanwhile, the bear would always be happy to dance wherever he found rainbows and magic.",,66,314,train,17218,keywords=never;too_long
ts_000123,"He felt a little ignorant about how the mail worked. But then his mom explained to him that sometimes mail is just for grown-ups. Timmy still felt a little sad, but he was happy that he learned something new.",,45,208,train,17431,keywords=sad
ts_000124,The police caught the crocodile and the monkey. The crocodile and the monkey were very sad. They knew they did a bad thing.,,26,123,train,17837,keywords=sad
ts_000125,"You have ice cream all over them."" Lily and Max giggled and followed their mom home. They learned their lesson and never ran away again. They still liked dessert, but they always asked their mom first.",,42,201,train,17887,keywords=never
ts_000126,"After some time, the girl felt better and the doctor said she was all better. On their way home, mommy and the girl talked about their visit and laughed about the enormous trucks they saw in the hospital parking lot. The girl was very happy that she remembered that she was never alone and had her mommy to help her.",,65,316,train,18023,keywords=hospital|never|alone;too_long
ts_000127,It was a long day and he was happy to be outside in the sun. He played and laughed and then it was time to go back inside and go to sleep. Jack was so tired he fell asleep as soon as his head hit the pillow!,,50,207,train,18085,keywords=fell
ts_000128,"I'll bring you some food and keep you company until you feel better."" The little duck was very happy to have such a kind friend. From that day on, they played together every day and the duck's wing got better. They never forgot the time when the duck fell from the tree, but they were glad it brought them closer together.",,68,322,train,18337,keywords=never|fell;too_long
ts_000129,"He tried to find the bad person, but he was gone. In the end, the old man never got his chest back. He learned that sometimes bad people do bad things, and it's important to be careful and keep your things safe.",,48,211,train,18433,keywords=never|gone
ts_000130,"Pink tried to help but it was too late. Blue fell to the ground and didn't move anymore. Pink was sad and said, ""I wish we could have soared together forever."" The end.",,40,168,train,18595,keywords=sad|fell
ts_000131,They hope that the fire is gone. They hope that everyone is okay. They say thank you to the firefighters in their hearts.,,26,121,train,18714,keywords=gone
ts_000132,"Soon Jax heard his mom call for lunch. He quickly pedaled back to the house, feeling happy and excited about the unusual adventure he had just gone on. He was also excited for what adventures he would go on the next day!",,46,220,train,18779,keywords=gone
ts_000133,The panda nibbled on delicious berries until he was full. The panda felt safe and content now that he had eaten his fill. He walked back out of the forest and decided to never let himself be scared of distant sounds again.,,45,222,train,18891,keywords=never|scared
ts_000134,"Bubbles was so grateful and thanked the turtle for saving her life. From that day on, Bubbles listened to her mother's advice and never went near hooks again. The moral of the story is to always listen to your parents and stay away from danger.",,49,244,train,19062,keywords=never
ts_000135,"He was sad, but his mom said she could fix it. After they fixed his sweater, they went to the park and played all day. Timmy was happy that he cleaned his room and got to play outside.",,43,184,train,19256,keywords=sad
ts_000136,They were very impatient and scared. They hoped someone would hear them and open the door. They hugged each other and waited.,,25,125,train,19372,keywords=scared
ts_000137,She said thank you to Mom. She did not touch the bad flower again. She played with Tom and other nice things in the garden.,,28,123,train,19377,keywords=did not
ts_000138,"She noticed that her skin did not feel hot and itchy like it usually did. Mia was happy that she had used the lotion. She learned that it is important to listen to her mom and that some things, like the harmless lotion, can help keep her safe and happy.",,55,253,train,19612,keywords=did not
ts_000139,The kids learned that they should not be scared of someone just because they look different. They all became friends with the witch and played together. The moral of the story is to not judge someone by how they look.,,43,217,train,19783,keywords=scared
ts_000140,"The man with the big mustache didn't care if he won or lost, he just wanted to have fun with his friends. And that's what they did, they had fun together. The end.",,38,163,train,19972,keywords=lost
ts_000141,The sick feeling kept getting worse until the mouse felt like it was going to die. The mouse eventually died from eating the bitter cheese. It was a bad ending for the poor mouse.,,37,179,train,20072,keywords=bad ending|sick
ts_000142,"Mary and her mommy stayed at the shore till the sun went down. Then they went back home, and Mary felt very happy. She could not wait to play on the shore again soon.",,38,166,train,20135,keywords=could not
ts_000143,"John was so happy that he jumped for joy. When the tea was gone, John and Mandy said goodbye and went on their way. They always felt very special when they spent time together.",,38,176,train,20138,keywords=gone
ts_000144,"Days passed, and Ozzy kept coming back to that shell for meals. He was so content and delighted to be able to eat and be safe. He was glad that he found the shell and would never forget it.",,43,189,train,20260,keywords=never
ts_000145,"Franny was very sad and tried to get her bracelet back, but the old lady wouldn't give it. Franny sadly went home without her bracelet. Moral of the story: Be careful who you trust!",,39,181,train,20284,keywords=sad
ts_000146,"Tim was sad at first, but then he realized that he could find other unique treats to enjoy. He discovered fruits like apples and bananas, which were just as sweet as candy but healthier. Tim was happy and his teeth were healthy too.",,48,232,train,20304,keywords=sad
ts_000147,She wished she was with her mom. She wished her grandma never sent her the hat. She wished she could forget the whole day.,,27,122,train,20444,keywords=never
ts_000148,"From that day on, Johnny learned that it was ok to not have the same things as everyone else. He learned to accept others and their differences, and to be thankful for the things he had. He never felt sad or left out again.",,49,223,train,20571,keywords=sad|never
ts_000149,"The mouse was sad but she learned an important lesson about treasure. She realized that it wasn't right to try to hold things that don't belong to her. In the end, it's better to leave it alone and let it be.",,45,208,train,20613,keywords=sad|alone
ts_000150,"She picked up Fred and put him back in her house. She put a bowl of food out for him and she didn't let him out again until she was sure the plastic was all gone. Fred learned his lesson and from that day forward, he only ate the things Mrs Brown recommended.",,57,259,train,20673,keywords=gone
ts_000151,"It wobbled and then crashed down on Lily, Ben and Tom. The blocks hit them hard and made them cry. The end.",,26,107,train,20762,keywords=cry
ts_000152,"The day ended with Lily feeling sad and unsuccessful in making her friend happy. She learned that sometimes people can disagree and it can cause problems. But she also learned that it's important to try and find a solution together, so that everyone can be happy.",,50,263,train,20866,keywords=sad
ts_000153,"When the bad man tried to steal the wise cow, the dog barked loudly and the cat hissed. The bad man got scared and ran away. The wise cow and her friends saved the day.",,39,168,train,20916,keywords=scared
ts_000154,"Thank you for not playing with my makeup."" Lily smiled and hugged her mom. She knew that being a good listener made her mom happy. From that day on, Lily never played with her mom's makeup again.",,43,195,train,20919,keywords=never
