text,label
"Not just anyone can stay here!"" The father and son left feeling sad and scared. They walked on into the night not knowing where they could go. The bad ending is that John never accepted the father and son, and they were out in the cold until the morning.",negative
"The monster was now in her room and it was not happy. The monster chased Lucy around the room, and she could not escape. The monster caught Lucy, and she was never seen again.",negative
"However, Joe never healed. In the end, Joe got worse and died. The moral of the story is to never ignore your hunger but to always eat healthy foods that can heal.",negative
"He held her tight and said, ""Don't worry, it's just a post office."" The little girl was not so scared any more. The old man smiled at her and said, ""Come on, let's go home."" So the little girl and the old man rushed home together. The end.",positive
"Tom quickly realised that the witch had spoiled him with a dead spell. He tried to run away but the witch used her magic to freeze him to the ground. The witch then left and Tom was left completely alone in the woods, all alone and dead forever.",negative
"She said to the cat, ""Please let the bird go."" But the cat didn't listen and ran away with the bird in its mouth. Lily cried and went back home. She learned that sometimes, we can't always help others, but we can always try.",negative
"Let's carve it for Halloween."" And so, Lily and her mom carved the pumpkin into a spooky face. When Halloween came, they put a candle inside the pumpkin and it glowed brightly. Lily was so proud of what she had found and created with her mom.",positive
"The fish had no more energy to march. It was sad, and it never saw the good things that the world had to offer. The fish stayed in the bad lake forever.",negative
She hoped he would find her soon and save her from the bossy squirrels. She learned her lesson. She would never spread secrets again.,negative
"Amy and Tom were sad as they looked at their wet leaf pile. They wished they could play in the dry leaves again, but they knew they couldn't because of the rain. So, they went home and waited for the sun to come back another day.",negative
"They laughed and splashed in the water. Tim and the frog had a fun day at the peaceful creek. And from that day on, they became the best of friends.",positive
But they knew they had made a big mistake. They were not excited anymore. They were very sad.,negative
"After a few seconds of shaking, she saw that the pieces had fit together in the perfect model! ""Wow,"" Emily gasped in amazement. She realized that the magical voice had been right!",positive
Mama had to let go. The moral of the story is: never touch something you don't know. It might be dangerous.,negative
It was a nice place with a lot of sun. They were happy in their new home. The wise cactus and the little bird lived happily ever after.,positive
"Joe was so happy. He was no longer embarrassed, and he had enough corn to keep selling to his neighbors. The end.",positive
The children were so happy to see the train full of toys. They played with the toys and had lots of fun. The bossy train learned that being nice and working together is better than being bossy.,positive
"Tom felt bad and stopped to help her. They never told a grown-up about the knife, and the bad ending happened: another kid found the knife and got hurt. Lucy and Tom learned they should always tell a grown-up when they see something bad.",negative
Lily had eaten too much of the bad apple and her tummy couldn't handle it. She had to go to the hospital and stay there for a long time. Lily learned that she should listen to her mom and not eat bad things.,negative
They remembered how kind he was and how he loved to whistle. They missed him very much. The end.,negative
They wish they had never asked the big kids to share the swings. They wish they had stayed home and played with their toys. They learn a hard lesson: some people are mean and do not like to share.,negative
They hoped someone would hear them and help them. They hoped the bear would go away. They hoped they would be safe.,negative
Spot sat next to him and listened as Timmy read the book out loud. Timmy was very happy to learn new things and Spot was happy to be with his best friend. The end.,positive
She couldn't wait to spin some more. Now she could twirl and dance whenever she wanted. The End.,positive
"Timmy got very sick and had to go to the hospital. From then on, Lily always checked the candy before she shared it with her friends. The end.",negative
"Greene on the leg. Without the help of the little girl, Mrs. Greene was unable to bring the groceries home and was left feeling very sad.",negative
"The man spoiled the pup by squeezing it too hard. The pup lay in his hands, still and quiet. The story ends sadly when the man realised that he had spoiled the pup and it was not moving anymore.",negative
"He would take the pigeon home and give it some food and water. Tim's mom helped him take care of the pigeon and soon it was happy and healthy again. From that day on, Tim and the pigeon became best friends and they played together in the park every day.",positive
"They share it with their friends. They clap and hit, clap and hit, clap and hit. They have a good Wednesday.",positive
The girl kept trying to catch the butterfly until it landed on her shoulder. She was so happy she had finally caught it that she didn't even resist when it flew away one last time. She was content with the beautiful moment they shared.,positive
"When she was done, Muffy said, ""Now that's much better!"" The oven was clean and it smelled fresh and nice. Muffy was very happy and content. The end.",positive
"His mom was so worried she called 911. The needle had caused a serious infection, and Jack was taken to hospital. It was a bad ending for Jack and his mom, because the needle was a mystery to them and never known who put it there.",negative
Timmy's wagon was so popular! They all took turns pulling it around the block. It was so much fun!,positive
"He fought the dragon and got the castle back. Lily was very happy and hugged the knight. She said, ""You're not stupid, you're my hero!""",positive
They wished they had been kinder and happier. They wished they had not fought. They wished they could dance and play together.,negative
"It was so fun that she waved again and again. At the end of the day, Bessy was tired. But she was happy because she waved so many zips and a hot dog.",positive
He had worked so hard and still couldn't succeed. Andy was very sad. He had not discovered anything new.,negative
"No more yucky cobweb!"" Lily's mommy hugged her and said, ""You're such a good helper. I'm glad you're here with me."" Lily smiled and said, ""I love you, mommy."" They both hugged each other and went back downstairs. From that day on, Lily made sure to keep the attic clean and cobweb-free.",positive
"The people had to print a sign that said ""Race cancelled"". They pointed to the sign and said, ""No more race"". Everyone was disappointed that the race had a bad ending.",negative
