text,label
"The glass crashed on the ground and the caterpillar ran away! John started to cry because he was so sad but he soon realized that it was ok, as the caterpillar was free now. John was so glad he was able to help the caterpillar and although he was sad that he couldn't take it home with him, he felt a sense of contentment knowing that he had done the right thing.",positive
"Finally, Sam stopped running. He was so tired and so upset, but he learned a valuable lesson: never trust magical stitches. They can be dangerous and you could hurt yourself.",negative
"After a while, Lily's brother said, ""Let's burn this paper!"" Lily said, ""No, we can't burn things, it's not safe."" Her brother said, ""But I want to see fire."" Lily said, ""Fire can hurt us and burn things we love."" Her brother said, ""Okay, let's not burn things. But I want to be independent."" Lily said, ""What does independent mean?"" Her brother said, ""It means we can do things on our own without help."" Lily said, ""Oh, I understand. But we should always be safe and careful.""",positive
"The parrot said bye-bye and thanked them for playing with it. Lily and Ben waved to the parrot and ran back to their parents. They told them about their new friend, the smooth and pretty parrot.",positive
"But then, the next morning, she woke up to find that the vest was back in her sack! Kayla was so happy! She thanked her lucky stars and never went anywhere without her sack again.",positive
They remembered how kind he was and how he loved to whistle. They missed him very much. The end.,negative
"I hope you are successful."" Molly climbed up the tree but slipped and fell. She broke her arm and was taken to the hospital. She was not successful and the bird felt sad.",negative
"She got a tissue and picked it up, throwing it away. Lily was happy the bug was gone and she could go back to skipping without being scared. She learned that sometimes waiting can be hard, but it's worth it to get rid of something disgusting.",positive
"It wobbled and then crashed down on Lily, Ben and Tom. The blocks hit them hard and made them cry. The end.",negative
They both went to the kitchen and enjoyed their delicious fruits. Lily felt happy and proud of herself for helping her mom. She knew she was a big girl now and could do many things on her own.,positive
"I'll bring you some food and keep you company until you feel better."" The little duck was very happy to have such a kind friend. From that day on, they played together every day and the duck's wing got better. They never forgot the time when the duck fell from the tree, but they were glad it brought them closer together.",positive
He had worked so hard and still couldn't succeed. Andy was very sad. He had not discovered anything new.,negative
"Spot was very sad and cold. He missed his warm blanket and could not sleep well. He wished he could find it, but the blanket was lost forever.",negative
They wish they had never asked the big kids to share the swings. They wish they had stayed home and played with their toys. They learn a hard lesson: some people are mean and do not like to share.,negative
"She thanked the fairy and skipped away, delighted with her newfound wealth. The fairy watched the little girl go and smiled. He would never forget the pure joy on her face.",positive
He had solved the problem all by himself. John smiled and laughed with joy now that the itch was gone. He was very happy.,positive
"They both said, â€œThat was fun! I'm so happy.â€ They hugged and went outside to play. The popcorn was gone, but they still had happy memories.",positive
"But when the girl's father heard what happened, he decided to punish them both. He said, ""You two must go back to the beach and find different shells for yourselves, and never return here again!"" Max and Sam had no other choice but to obey his orders. In the end, they both learned an important lesson about never disobeying their elders and followed their gifted leader's advice from that day onwards.",negative
Zoomy was happy and showed her the scarf. The girl was so happy and thanked Zoomy. Zoomy felt good for helping and zoomed back home with a big smile.,positive
But she eventually said goodbye to the house and continued on her journey. The forest was full of surprises and Emma enjoyed every minute of her adventure. She was so happy to find such amazing textures and she couldn't wait to come back and explore again.,positive
"After a while, he woke up feeling energised and happy, ready to go out and dance through the trees again. The bear never forgot that unusual nap, and whenever he felt tired, he stopped and had a nap on the rainbows again. And meanwhile, the bear would always be happy to dance wherever he found rainbows and magic.",positive
"They took turns teasing each other and running fast. At the end of the day, Max and Tweet were tired but happy. They knew they had a lot of fun with their new toy.",positive
"The bad storm lasted all day, destroying the new lake and making the swan's original home safe again. The wee swan was sorry and sad, but she learned an important lesson. Be careful what you replace, because it may not turn out the way you expect!",negative
"I can't help you because my wing is hurt."" The tall man was sad. He had to leave his big boot in the hole. The moral of the story is: Sometimes, we can't help others even if we want to.",negative
"Suddenly, a beautiful butterfly flew by. The rabbits stopped to look at it and the elephants passed them. The rabbits were sad, but they learned that sometimes it's important to focus on the race and not get distracted by beautiful things.",negative
"Pink tried to help but it was too late. Blue fell to the ground and didn't move anymore. Pink was sad and said, ""I wish we could have soared together forever."" The end.",negative
Lily and her family were very sad that their hard work was ruined. They had to cancel the party and clean up the mess. It was a very bad ending to their day.,negative
"Finally, Suzy decided to forgive her new friends and hugged them all. They hugged her back and soon everyone was dancing again. Suzy smiled and joined the dance, no more yawning!",positive
"Tim was sad and hurt. He went home, and the tree was not popular anymore. The birds did not come back to stand and sing in the tree again.",negative
"Not just anyone can stay here!"" The father and son left feeling sad and scared. They walked on into the night not knowing where they could go. The bad ending is that John never accepted the father and son, and they were out in the cold until the morning.",negative
"She felt sad and wished she had taken the time to polish her camera lens before taking pictures. The moral of the story is that sometimes, it's important to be patient and take the time to do things right. Like polishing your camera lens before taking pictures.",negative
"The heavy cloud was still in the sky, but the sun was starting to come out and soon it was gone. They smiled and played in the warm sunshine. Jane thought that a muffin could really make everything better.",positive
"They turned more pages and saw a monkey, a giraffe, and even a silly-looking penguin. Timmy loved seeing all the different animals in the book. When they finished the book, Timmy was so excited that he wanted to read it again.",positive
"But then, a big storm came and the wind blew all the hay away. Jack was very sad because he had worked so hard and now his hay was gone. He looked at the empty field and didn't know what to do.",negative
"After some time, the girl felt better and the doctor said she was all better. On their way home, mommy and the girl talked about their visit and laughed about the enormous trucks they saw in the hospital parking lot. The girl was very happy that she remembered that she was never alone and had her mommy to help her.",positive
"Franny was very sad and tried to get her bracelet back, but the old lady wouldn't give it. Franny sadly went home without her bracelet. Moral of the story: Be careful who you trust!",negative
"Be careful though, it's raining. And it's making it slippery!"" The snake thanked the frog for the warning and started to make his way back home, being careful to watch his steps in the wet grass. When he got home safe and sound, he knew that his adventure was one he'd never forget.",positive
The hot air had burned her lungs too badly. Lily didn't make it. Her mom was very sad and wished Lily had remembered her promise.,negative
He wishes he did not make Sam and Mom mad. He knows he will not play with cars and trucks for a long time. He has a bad ending.,negative
"The day ended with Lily feeling sad and unsuccessful in making her friend happy. She learned that sometimes people can disagree and it can cause problems. But she also learned that it's important to try and find a solution together, so that everyone can be happy.",negative
"The monster was now in her room and it was not happy. The monster chased Lucy around the room, and she could not escape. The monster caught Lucy, and she was never seen again.",negative
"Suddenly, the gun went off and the gifted boy was hurt. He was rushed to the hospital, but the doctors were unable to save him. The gifted boy had passed away.",negative
Rosie was broken and couldn't be fixed. Lily was heartbroken and didn't want to play with her friend anymore. The end.,negative
"But then, Spidey remembered what his mom always told him: ""Never give up, even when things are hard."" So, Spidey tried again and again until he made the most beautiful cobweb he had ever made. He was so proud of himself that he forgot all about surrendering. From that day on, Spidey knew that even when things are hard, he could do it if he tried his best.",positive
"Her dad chuckles and said, ""It looks like you like it!"" Sarah smiled and nodded before she ran off to explore more. She had never seen anything like this before. It was truly amazing!",positive
"John was locked out of the house, and was forced to stay outside. The next morning he woke up feeling very cold and sad. He had a bad ending to his day, all because of the whistle.",negative
Mommy cleaned Lily's knee and put a bandage on it. Lily felt better and went back to riding her scooter. She was happy again!,positive
She was so glad to see it again! Tommy had found the box on the ground and had taken it home to keep it safe. Lily thanked Tommy and they played together happily ever after.,positive
"He said, ""The kite looks so nice, mum!"" His mum replied, ""Yes, it looks like an image in the sky now. All we need to do is wait for the wind to pick it up and take it high."" Tom smiled. He knew his dream was finally going to come true.",positive
Lily had eaten too much of the bad apple and her tummy couldn't handle it. She had to go to the hospital and stay there for a long time. Lily learned that she should listen to her mom and not eat bad things.,negative
"Timmy didn't know what to do and ran home to get his mom. Sadly, Lily had to go to the hospital and couldn't skip or eat fruit for a while. She learned to be careful and only pick good fruit from then on.",negative
They wished they had never been curious about the candy truck. They did not know where the man was taking them or what he would do to them. They had a bad ending.,negative
Mama twisted the rope around the baby's waist and they were off. They flew back and forth and giggled with joy. It was the best day ever!,positive
"It was a wheel for one of the train carriages! Joanna was delighted and gave Mummy a big hug. Whenever the sun shone in the springtime, Joanna always remembered her adventure, and of course the very useful wheel she had found.",positive
"They all tried to help the frog, but the mosquito was too fast. The mosquito bit all the frog's friends too. In the end, the mosquito won and the frog and his friends were very sad.",negative
"His sister was happy and said, ""Thank you, Timmy! You are so sharp for sharing your ice cream with me."" Timmy felt proud of himself for being a good brother and sharing his ice cream. From that day on, he always shared his treats with his sister and became known as the loyal and kind brother in his family.",positive
"He tried to find the bad person, but he was gone. In the end, the old man never got his chest back. He learned that sometimes bad people do bad things, and it's important to be careful and keep your things safe.",negative
"I like being lazy on my leaf."" The small fish swam away, sad that Lily didn't want to play. In the end, Lily stayed lazy on her leaf, watching the world go by. She liked her simple, lazy life, and that was okay.",positive
"They knew they would play together again soon. Mia went home, no longer feeling restless. She had a fun day with her friend, and now she was ready for bed.",positive
"Lily giggled and said, ""Teddy, you're so silly!"" After a few minutes, Teddy's arm was fixed and he was as good as new. Lily was so happy and said, ""Thank you, mommy. You're so dependable.""",positive
"She took it outside and let it go. The little bird flew away, and Lily watched it until it was just a little dot in the sky. She felt happy to have helped the little bird and to have seen the beautiful landscape.",positive
She says he is a good brother and she loves him. She says they can draw together and make more pretty pictures. She says they can have fun and be happy.,positive
She wished she was with her mom. She wished her grandma never sent her the hat. She wished she could forget the whole day.,negative
"The squirrel came to meet her and they became friends. They played together and had fun. From that day on, Lily visited the forest every day to meet her new friend.",positive
"""Oh no!"" said Lily. ""I forgot my coat at home."" ""Don't worry,"" said the rabbit. ""I have an extra coat you can borrow."" Lily put on the rabbit's coat and they happily bounced back home together, grateful for their new friendship.",positive
They decide to play nicely and share their toys. Mom is happy and proud of them. She joins them in the garden and helps them make a cake for the party.,positive
"They hoped they would have fun and see new things. They did not know that their small bags had a surprise for them. Inside their bags, their toys were waiting to come out and play.",positive
"The little boy tried to point to the fish, but it swam away too fast. The mommy said they could come back tomorrow and try again. The little boy was very happy and couldn't wait to see the big fish again.",positive
"Suddenly, the lights turned on and the girl got scared. She quickly put back the ornament and ran out of the living room. She was so scared she never tried to peek at the tree again.",negative
"The pine tree felt very bad. It wanted to be like the other trees, but it could not. The pine tree stayed sad and never bloomed.",negative
"His friends were very sad because they could not save him. In the end, the large ice bear melted away, leaving only a puddle of water. His friends cried and missed the love and fun they had with the large ice bear.",negative
"Papa said, ""Let's go. We don't want to be here."" So, Mama and Papa quickly left the store. On the way home, Mama said, ""I'm glad that no one got hurt."" Papa nodded again.",positive
She hoped he would find her soon and save her from the bossy squirrels. She learned her lesson. She would never spread secrets again.,negative
"He felt very sad and didn't know what to do. He looked for help, but there was nobody around. Timmy sat next to his mommy and cried, wishing he could do something to make her better.",negative
"After playing, they went home and had a yummy dinner. Lily was so tired that she fell asleep right away. She dreamt about the see-saw and how much fun it was to weigh the sides.",positive
"""Let's go home, Tom,"" Mia said. ""We need to change our clothes and tell Mom what happened."" ""Okay, Mia,"" Tom said. ""But next time, let's just look at the fish, not touch them.""",positive
"Tom quickly realised that the witch had spoiled him with a dead spell. He tried to run away but the witch used her magic to freeze him to the ground. The witch then left and Tom was left completely alone in the woods, all alone and dead forever.",negative
"So, he said sorry to his mom and helped her clean the wall. They worked together to make the wall white again. Tim learned that it is important to ask for permission before doing something that might make someone else unhappy.",positive
"But later that day, she accidentally knocked over a vase and it broke into many pieces. Her mom was very angry and Lily felt very bad. She learned that it's important to play with toys that are meant for her and to be careful with things that are fragile.",negative
"He quickly ate the fruit and then he grabbed the poor green mouse and put him in his mouth. The mouse screamed and cried, but it was too late. The cat had already eaten him.",negative
"Chloe was amazed and hugged her parents tightly. From that day, Chloe never felt alone and scared when walking through the dark woods. The bottle had reminded her that her parents were always there for her.",positive
"Her friend was very happy and thanked Lily for being so kind. The moral of the story is that sharing is good and makes others happy. And sometimes, when we share, we might even make new friends who love to dance with us!",positive
"However, Joe never healed. In the end, Joe got worse and died. The moral of the story is to never ignore your hunger but to always eat healthy foods that can heal.",negative
"""Goodbye, little flea. Thanks for being so creative!"" She said as she watched it run away. Amy waved goodbye and went off inside, full of joy from her creative adventure.",positive
Timmy was sad that he couldn't play with his friends anymore. He couldn't sing or play with his toys either. Timmy learned that accidents can happen and it's important to be careful.,negative
They thanked the kind man and watched a show together. The theater was no longer old and broken. It was new and beautiful again.,positive
"You are a sneaky magician!"" Tom and Anna giggled and hugged. They put the coins back in the jar and decided to play another game. They had fun with their coins and their magic.",positive
"She picked up Fred and put him back in her house. She put a bowl of food out for him and she didn't let him out again until she was sure the plastic was all gone. Fred learned his lesson and from that day forward, he only ate the things Mrs Brown recommended.",positive
"Daisy and her mom made a yummy berry pie together. Daisy felt so proud, she had picked the berries all by herself and her mom had baked the pie. They enjoyed the pie and Daisy smiled happily, knowing that she can do things independently.",positive
"She gently patted the girl's head and said, ""It's alright. Just don't be so careless when playing with things."" The girl nodded and thanked the old lady for her advice. From that day forward, the girl was more careful when playing with things.",positive
"He had such a great time that he didn't want to leave and go home. But even though he was enjoying his time, his mom reminded him, ""Remember, it's important to always do things the right way."" Bill nodded, understanding the lesson his mom was teaching him. From that day forward, Bill always did things the right way and never forgot the lesson about the gym.",positive
"She was so happy! Tom felt good because he was helpful. From that day on, Tom and the little girl were good friends.",positive
What she had done was wrong and mummy was unhappy. Bella never did it again and she learnt her lesson. She loved her mummy very much and never wanted to do anything that would make her unhappy again.,positive
"Timmy had never felt so bad before. He had to go to the hospital and stay there for a long time. Timmy learned a valuable lesson that day: sometimes, cheap things can be dangerous.",negative
"She said she still wanted to play with the ball, but she would cover her bear with her jacket next time. She said she hoped the dog would not hurt her bear. She said she missed him very much.",negative
"â€œYou did it!"" They cheered. The young girl was proud of herself and gave the medal a big hug. From that day forward, she never stopped believing in herself.",positive
"Unfortunately, the boy never rode his bike again. He was too scared to get on it after the accident. The bad thing that happened that day taught him a lesson, and he was careful from then on.",negative
He cracked open the orange nut and ate the delicious food inside. He thanked the fox and happily skipped away. He had found a treat and made a new friend!,positive
Mama had to let go. The moral of the story is: never touch something you don't know. It might be dangerous.,negative
"He began to play with it, and soon enough, the fog had gone away. Everything was perfect! Sam was so glad that he wasn't delayed anymore.",positive
She wished she had never gone outside. She wished she had never tried to improve her journal. She wished she had been a good girl.,negative
"When she arrived, she and her mom were so happy. They celebrated with a big hug and lots of cuddles. Olive learned that when she trusted her mom, lots of great things could happen.",positive
"You are a good friend."" Then Bob went back to eat his tasty worm. He was happy to help his friend and still have his treat. And they all lived happily ever after.",positive
The police caught the crocodile and the monkey. The crocodile and the monkey were very sad. They knew they did a bad thing.,negative
They had to tell the store man what happened. The store man was not happy either. Tim and his mom had to pay for the broken jar of yogurt and go home without any yogurt.,negative
"We'll find a roof to keep us dry."" When they finally made it home, Johnny was exhausted, wet, and sad. Mommy said, ""It's time to take off the leash, Johnny."" Johnny knew this was the end of their walk, and he was sad. He wished he'd stayed in the park to enjoy all the tasty snacks.",negative
"I should have listened."" Her mom hugged her and said, ""It's okay, Sue. We can clean it up together. Next time, remember to play carefully."" And they cleaned up the broken vase together.",positive
"Waiter, for bringing me a new plate of spaghetti. You are very polite."" The waiter smiled and said, ""You're welcome, Lily. I'm glad you like it."" And Lily ate her spaghetti happily ever after.",positive
The sick feeling kept getting worse until the mouse felt like it was going to die. The mouse eventually died from eating the bitter cheese. It was a bad ending for the poor mouse.,negative
"Lily's mommy tried to push her out of the way, but it was too late. Lily got hit by the car and didn't wake up. Her mommy cried and wished she had bought the toy for Lily.",negative
"The girl was very happy and said, ""Thank you, Mr. Elephant!"" The elephant smiled and walked around the park with the little girl on his back. They had a fun time together.",positive
"Tom's mouth was burning, and he started to cry. His mom tried to help him, but the soup was still too spicy. Tom learned that too much pepper can make food taste bad.",negative
They hoped someone would hear them and help them. They hoped the bear would go away. They hoped they would be safe.,negative
"Lily's mom had to come and cut the mitten off with a sharp pair of scissors. Lily was sad because she loved her mittens, but now one was fake because it had a hole in it. From that day on, Lily always listened to her mom's warnings and never touched anything sharp again.",negative
The other animals were sad and missed their friend. They learned to be careful of fake things and to always check before they rest on a branch. The end.,negative
Tom and Lucy became good friends. They played and cleaned together every day. And they lived happily ever after.,positive
"The small gorilla was too scared to move. The bigger gorilla picked up the small gorilla and counted to three. Then, sadly, the bigger gorilla threw the small gorilla away and the small gorilla was never seen again.",negative
"You need to make sure that it can protect all the plants from the sun!"" And so, with her mom's help, Penny got to work creating the perfect shade for the garden. When it was all done, everyone was so impressed! It was a perfect addition to the garden, and most importantly, it provided just the right amount of shade.",positive
The dog ran far away and Tim got lost. He couldn't find his way home and began to cry. Tim's fun day had a bad ending because he couldn't play with the dog anymore and he was lost.,negative
"When it was up on the wall, Lily felt very proud. She smiled and said, ""Thank you, Mom and Dad. Now everyone can see my sun!""",positive
"The cat just laughed and walked away, leaving Max trapped and alone. Max realized he should have been more careful and not let his curiosity get the best of him. He was stuck in the trap for a long time and eventually passed away.",negative
"Lily tried to save Mittens, but it was too late. Mittens passed away and Lily felt very sorry for not forgiving him. From that day on, Lily learned that it's important to forgive and love the ones we care about, because we never know when it might be too late.",negative
"In the morning, there was a big ice cream cone waiting for him at the door. The fox was so happy! He ate the ice cream and never forgot about the special night he had with the star.",positive
"His mom tried to comfort him, but nothing could make Timmy feel better. The next day, Timmy's family had to leave the hotel without his regular jacket. Timmy was very upset and wished he had never gone on the trip.",negative
"The man smiled and said ""Now you can enjoy living with me"". The frog felt disappointed and helpless, not knowing that his new home would be his prison. The poor frog was never able to escape, and he eventually forgot what it felt like to be wild.",negative
"Sadly, Timmy died that day. The moral of the story is that it's important to always ask for help when we need it. We should never be afraid to ask for help, especially when it comes to our safety.",negative
They were very impatient and scared. They hoped someone would hear them and open the door. They hugged each other and waited.,negative
He dropped it on the little bird's head. The little bird was so ashamed to see what had happened. He flew away quickly and never sang again.,negative
"Kitty was very sad. She tried to find her picture, but it was gone. Her friends never got to see the big surprise.",negative
"Max was sad and confused. He tried to tell the man he was sorry, but the man did not listen. Max walked home with a heavy heart, not knowing what he did wrong.",negative
"The people smiled and hugged each other. They were so glad the man had come to replace the sad house. From then on, the house was always happy.",positive
"Greene on the leg. Without the help of the little girl, Mrs. Greene was unable to bring the groceries home and was left feeling very sad.",negative
"Little by little, the storm began to settle and the sky got brighter again. Joe was happy that he was able to see the amazing storm and that he hadn't been too scared to venture out of the house. He learned a valuable lesson that day â€” to never be too shy to explore and try new things.",positive
"""I'm sorry,"" said Tim. ""I didn't mean to."" The broken glass made Amy and Tim feel bad. They learned that they must be careful with things they love, or they might break them.",negative
"The man spoiled the pup by squeezing it too hard. The pup lay in his hands, still and quiet. The story ends sadly when the man realised that he had spoiled the pup and it was not moving anymore.",negative
"The bomb exploded and the mouse was hurt. The mouse couldn't move anymore and was very sad. From that day on, the mouse learned to be careful when it found strange buttons.",negative
"Amy and Tom were sad as they looked at their wet leaf pile. They wished they could play in the dry leaves again, but they knew they couldn't because of the rain. So, they went home and waited for the sun to come back another day.",negative
"But when Jack went to put it back in his pocket, it was gone. Jack was sad but Mum reminded him that his original penny was special and it was still in his pocket. Jack smiled and was filled with joy.",positive
He was relieved and overjoyed that the group had passed him. He happily played with them and made sure to stay tidy. He would never forget how the group accepted him despite his differences.,positive
The kids learned that they should not be scared of someone just because they look different. They all became friends with the witch and played together. The moral of the story is to not judge someone by how they look.,positive
"Thank you for not playing with my makeup."" Lily smiled and hugged her mom. She knew that being a good listener made her mom happy. From that day on, Lily never played with her mom's makeup again.",positive
"Mallory came back outside, excited to tell her dad what she had read. She said, ""Dad, did you know that beetles can look different and some are even colorful?"" Dad replied, ""That's right, honey. That's why that black beetle was so special!"" Mallory and her dad smiled at each other and enjoyed watching the black beetle fly around together.",positive
"Everyone was happy for them. The moral of the story is that, when two people love each other, marriage is a way to show that special love to the world. Marriage is special and it can bring a lot of joy to a family.",positive
"The fish had no more energy to march. It was sad, and it never saw the good things that the world had to offer. The fish stayed in the bad lake forever.",negative
"His family was so happy to have such a loyal dog. Spot never forgot the fun time he had at the park. Every time his family would release him for a walk, Spot jumped with joy knowing that he was about to embark on another exciting adventure.",positive
"But when the child wanted to leave the forest with the animal, a big hunter jumped out of the bushes. He said, ""I will make this animal my dinner!"" The animal was so scared and ran away as fast as it could. The child was very sad and never saw the green animal again.",negative
The judges loved his dish and gave him a big trophy! Timmy was so happy and couldn't stop smiling. He went home and told his dad all about his exciting day.,positive
But then Lily's mom told her some bad news. Sarah had to go away and wouldn't be coming back to teach Lily anymore. Lily was very sad and didn't know what to do without her amazing tutor.,negative
"The compassionate mom tried to find another toy, but the little girl only wanted the first toy. They went home without a toy, and the little girl cried. The mom was sad too, and they both wished they could have found the toy.",negative
"It said, ""Yes please!"" The sweet little frog had never been so excited in his life. He jumped up and down, shouting ""Yay!"" And that's how the little frog went on an adventure in his new boat. He explored all kinds of places and had lots of wonderful experiences.",positive
"They feel sad and sorry. They ruined their picture. They say, ""Oh no, oh no, oh no!""",negative
"Timmy felt bad for what he did and realized that fighting is not the right thing to do. He learned that it's important to share and be kind to others. From that day on, Timmy made sure to always share his toys and never fight with his friends again.",positive
Timmy had drowned and his mommy was very sad. She was also jealous of the other mommies who still had their children with them. She wished she had listened to her own mommy when she was young.,negative
"The operation went very well and after a few days, Felix and his mom were back home together. His mom gave him the biggest hug and thanked him for all his help. Thanks to his bubbly soaps, the operation was a success!",positive
Timmy's mom was very sad. She knew that Timmy was in a distant place now and would never come back. She missed him very much and wished that he had never shaken that tree.,negative
"Tom felt bad and stopped to help her. They never told a grown-up about the knife, and the bad ending happened: another kid found the knife and got hurt. Lucy and Tom learned they should always tell a grown-up when they see something bad.",negative
"""That's okay,"" Penelope's mom said with a smile. ""I'm sure the owl is safe now. That was really weird but really cool too.""",positive
"She just kept staring at it until the waves covered it up. The little girl never forgot about the ancient hand. She would go back to the beach every day and stare at the ocean, hoping one day she would see the beautiful hand again.",negative
The fancy bug was sad. His friend was hurt and could not play anymore. The bug had to spin alone again.,negative
"After a few seconds of shaking, she saw that the pieces had fit together in the perfect model! ""Wow,"" Emily gasped in amazement. She realized that the magical voice had been right!",positive
"The bird showed the boy a shiny toy on a high branch. The boy tried to climb the tree, but he fell down and hurt his leg. The wild bird flew away, and the boy was left alone, still sad and now with a hurt leg.",negative
They wished they had been kinder and happier. They wished they had not fought. They wished they could dance and play together.,negative
"He had worked very hard for the cookie and was very sad when he realized he had won something that tasted bad. The little boy was very sad, but he did learn from his experience. He learned that being too curious could have bad endings.",negative
He opened the bottle and used the ink to make a beautiful picture for his friend. The bird was very happy and his friend was very pleased with the special present. The end!,positive
She did not know how to be nice to Tom. She did not understand his way of playing. She wished she had a fire truck too.,negative
"She used it to make the car brand new again. She waved her wand twice and the wheel came back! The little car was so happy, it started to tear.",positive
"They learn a lesson. They learn to respect and appreciate different food and different people. They learn that eating is not only about taste, but also about kindness and friendship.",positive
