sample_id,id,text,label,n_tokens,n_chars,source_split,source_index,notes,label_source,source_file,candidate_group
ft_011,ts_000159,The fancy bug was sad. His friend was hurt and could not play anymore. The bug had to spin alone again.,negative,24,103,train,21179,keywords=sad|could not|alone|hurt,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_012,ts_000012,"That was perfect"". He washed his hands and quickly ran away. Lucy was very happy that she had been so helpful, and she knew she had done the perfect thing.",positive,35,155,train,5142,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_013,ts_000101,"After the game, Timmy and his dad went to get some ice cream. Timmy's dad asked him, ""Did you have fun at the stadium?"" Timmy replied, ""Yes! I was so excited to see the players and celebrate our team winning!"" Timmy went to bed that night dreaming of playing soccer in a big stadium like the players he saw.",positive,71,307,train,6656,too_long,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_014,ts_000083,"Spot was sad and bored again. Finally, they arrived back home and Spot was happy to be inside where it was warm. He curled up on his bed and fell asleep, dreaming of running and playing without a leash.",positive,44,202,train,13202,keywords=sad|fell,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_015,ts_000120,"They took turns teasing each other and running fast. At the end of the day, Max and Tweet were tired but happy. They knew they had a lot of fun with their new toy.",positive,38,163,train,7085,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_016,ts_000009,The other animals were sad and missed their friend. They learned to be careful of fake things and to always check before they rest on a branch. The end.,negative,32,152,train,6083,keywords=sad,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_017,ts_000173,"When they left the museum, Timmy was tired but happy. He told his mommy and daddy that he had a great time spreading his arms and pretending to be a bird and a dinosaur. They smiled and said they were glad he had fun.",positive,48,217,train,7998,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_018,ts_000128,"This flea won't go away."" The cat said, ""You should snap your fur to get rid of the flea."" Max tried to snap his fur, and the flea went flying away. Max felt much better. The moral of the story is that sometimes we need a little help from our friends to solve our problems.",positive,65,273,train,7244,too_long,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_019,ts_000164,"They stopped applauding and hugged the bus. The bus was so happy and started to laugh. From then on, it never felt lonely again.",positive,28,128,train,7834,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_020,ts_000238,He cracked open the orange nut and ate the delicious food inside. He thanked the fox and happily skipped away. He had found a treat and made a new friend!,positive,33,154,train,9013,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_021,ts_000285,"""Let's go home, Tom,"" Mia said. ""We need to change our clothes and tell Mom what happened."" ""Okay, Mia,"" Tom said. ""But next time, let's just look at the fish, not touch them.""",positive,51,176,train,9786,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_022,ts_000027,"When she arrived, she and her mom were so happy. They celebrated with a big hug and lots of cuddles. Olive learned that when she trusted her mom, lots of great things could happen.",positive,39,180,train,5422,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_023,ts_000057,"The bird showed the boy a shiny toy on a high branch. The boy tried to climb the tree, but he fell down and hurt his leg. The wild bird flew away, and the boy was left alone, still sad and now with a hurt leg.",negative,52,209,train,10243,keywords=sad|alone|hurt|fell,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_024,ts_000119,She wished she had never gone outside. She wished she had never tried to improve her journal. She wished she had been a good girl.,negative,28,130,train,16746,keywords=never|gone,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_025,ts_000154,"Thank you for not playing with my makeup."" Lily smiled and hugged her mom. She knew that being a good listener made her mom happy. From that day on, Lily never played with her mom's makeup again.",positive,43,195,train,20919,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_026,ts_000070,"He had worked very hard for the cookie and was very sad when he realized he had won something that tasted bad. The little boy was very sad, but he did learn from his experience. He learned that being too curious could have bad endings.",negative,49,235,train,11548,keywords=sad|bad ending,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_027,ts_000226,Mama twisted the rope around the baby's waist and they were off. They flew back and forth and giggled with joy. It was the best day ever!,positive,30,137,train,8816,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_028,ts_000189,"Tom quickly realised that the witch had spoiled him with a dead spell. He tried to run away but the witch used her magic to freeze him to the ground. The witch then left and Tom was left completely alone in the woods, all alone and dead forever.",negative,52,245,train,8343,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_029,ts_000137,"The girl was very happy and said, ""Thank you, Mr. Elephant!"" The elephant smiled and walked around the park with the little girl on his back. They had a fun time together.",positive,40,171,train,7458,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_030,ts_000092,What she had done was wrong and mummy was unhappy. Bella never did it again and she learnt her lesson. She loved her mummy very much and never wanted to do anything that would make her unhappy again.,positive,41,199,train,13880,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_031,ts_000161,Timmy had drowned and his mommy was very sad. She was also jealous of the other mommies who still had their children with them. She wished she had listened to her own mommy when she was young.,negative,40,192,train,21266,keywords=sad,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_032,ts_000130,"She laughed and played around the skeleton, not scared anymore. From that day on, Lily loved visiting the skeleton in the park. It was her new friend, and it never seemed scary again.",positive,39,183,train,7259,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_033,ts_000298,"To their surprise, they had found a sweet surprise! They giggled and hugged and thanked each other for their sweet supply. The game was great fun and both Mina and Jack decided to play the game again soon.",positive,42,205,train,9971,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_034,ts_000175,They have a lot of fun and learn new things. They are very careful not to burn anything or hurt themselves. They are happy and proud of their magic crystals.,positive,33,157,train,8039,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_035,ts_000069,They hope Mom will let them watch TV tomorrow. They hope Mom will hug them and tell them she loves them. They love Mom too.,positive,28,123,train,6129,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_036,ts_000082,Mama had to let go. The moral of the story is: never touch something you don't know. It might be dangerous.,negative,25,107,train,6320,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_037,ts_000192,"Finally, Sam stopped running. He was so tired and so upset, but he learned a valuable lesson: never trust magical stitches. They can be dangerous and you could hurt yourself.",negative,36,174,train,23781,keywords=never|hurt,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_038,ts_000097,"They turned more pages and saw a monkey, a giraffe, and even a silly-looking penguin. Timmy loved seeing all the different animals in the book. When they finished the book, Timmy was so excited that he wanted to read it again.",positive,49,226,train,6606,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_039,ts_000049,"Lily made new friends and felt less lonely. The moral of the story is that it's important to introduce yourself and be kind to others. You never know who might be feeling weak and lonely, and a simple act of kindness like sharing popcorn can make a big difference.",positive,53,264,train,9587,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_040,ts_000144,"He said, ""The kite looks so nice, mum!"" His mum replied, ""Yes, it looks like an image in the sky now. All we need to do is wait for the wind to pick it up and take it high."" Tom smiled. He knew his dream was finally going to come true.",positive,64,241,train,7553,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_041,ts_000060,"He was so happy! He knew that his mom must have found it and put it there for him. Timmy gave his mom a big hug and said, ""Thank you for being so useful!"" From that day on, Timmy made sure to always stand his toys up and put them away so they wouldn't get lost again.",positive,65,267,train,5951,too_long,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_042,ts_000160,"Lily was so happy and hugged her teddy bear tightly. The moral of the story is that it is always good to ask for help when you need it. Sometimes things get lost, but with help, they can be found again.",positive,46,202,train,21201,keywords=lost,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_043,ts_000022,"Suddenly, the lights turned on and the girl got scared. She quickly put back the ornament and ran out of the living room. She was so scared she never tried to peek at the tree again.",negative,40,182,train,5326,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_044,ts_000245,"The surfer saw Bella and waved goodbye. Bella waved back and said, ""Bye, surfer! Have fun in the pretty ocean.""",positive,27,111,train,9165,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_045,ts_000066,"After they were done, the park was clean and beautiful. Tom and Spot felt happy and proud. They knew that keeping the park clean was important for everyone.",positive,32,156,train,6043,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_046,ts_000103,"He was happy again. The moral of the story is that it's important to share and be kind to others. Sometimes, you can even make a trade to make both people happy.",positive,36,161,train,6667,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_047,ts_000173,"Unfortunately, the boy never rode his bike again. He was too scared to get on it after the accident. The bad thing that happened that day taught him a lesson, and he was careful from then on.",negative,42,191,train,22763,keywords=never|scared,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_048,ts_000279,"The monster was now in her room and it was not happy. The monster chased Lucy around the room, and she could not escape. The monster caught Lucy, and she was never seen again.",negative,39,175,train,9690,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_049,ts_000150,"But when Jack went to put it back in his pocket, it was gone. Jack was sad but Mum reminded him that his original penny was special and it was still in his pocket. Jack smiled and was filled with joy.",positive,45,200,train,7638,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_050,ts_000299,"He said, ""I love popcorn. Yum!"" Mommy said, ""I'm glad you like it Bobby. Give me a handful too!"" Bobby smiled and said, ""Here you go mommy!"" He gave her a handful, and they both ate popcorn together as the movie started.",positive,58,220,train,9980,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_051,ts_000229,"The spaghetti kept growing each day, until there was enough for everyone. Susie and her friends ate the spaghetti each day. They all had lots of fun, and they were happy and silly.",positive,38,180,train,8856,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_052,ts_000272,"Waiter, for bringing me a new plate of spaghetti. You are very polite."" The waiter smiled and said, ""You're welcome, Lily. I'm glad you like it."" And Lily ate her spaghetti happily ever after.",positive,45,192,train,9535,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_053,ts_000064,"Sara giggled and hugged her mommy. Mommy and Sara stayed together, hugging and laughing. It was a very special moment that they would never forget.",positive,29,147,train,10814,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_054,ts_000016,"Mallory came back outside, excited to tell her dad what she had read. She said, ""Dad, did you know that beetles can look different and some are even colorful?"" Dad replied, ""That's right, honey. That's why that black beetle was so special!"" Mallory and her dad smiled at each other and enjoyed watching the black beetle fly around together.",positive,73,340,train,5177,too_long,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_055,ts_000181,The car hit Max and he died. Lily was very sad and she regretted throwing the ball. She missed Max very much and wished he was still with her.,negative,32,142,train,23235,keywords=sad,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_056,ts_000244,"Be careful though, it's raining. And it's making it slippery!"" The snake thanked the frog for the warning and started to make his way back home, being careful to watch his steps in the wet grass. When he got home safe and sound, he knew that his adventure was one he'd never forget.",positive,61,282,train,9134,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_057,ts_000266,"She was so happy! Tom felt good because he was helpful. From that day on, Tom and the little girl were good friends.",positive,27,116,train,9387,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_058,ts_000055,"Her friend was very happy and thanked Lily for being so kind. The moral of the story is that sharing is good and makes others happy. And sometimes, when we share, we might even make new friends who love to dance with us!",positive,48,220,train,5853,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_059,ts_000163,"Her dad chuckles and said, ""It looks like you like it!"" Sarah smiled and nodded before she ran off to explore more. She had never seen anything like this before. It was truly amazing!",positive,41,183,train,21425,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_060,ts_000243,She was so glad that her big brother was there to help. The other little girl apologized to her and together they had a great time pushing their carts and playing. Mia was so happy that she had an organized cart and a big brother to look after her.,positive,52,248,train,9112,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_061,ts_000105,"Tom felt bad and stopped to help her. They never told a grown-up about the knife, and the bad ending happened: another kid found the knife and got hurt. Lucy and Tom learned they should always tell a grown-up when they see something bad.",negative,53,237,train,6716,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_062,ts_000101,"The pine tree felt very bad. It wanted to be like the other trees, but it could not. The pine tree stayed sad and never bloomed.",negative,30,128,train,14507,keywords=sad|never|could not,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_063,ts_000063,"She just kept staring at it until the waves covered it up. The little girl never forgot about the ancient hand. She would go back to the beach every day and stare at the ocean, hoping one day she would see the beautiful hand again.",negative,49,231,train,10789,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_064,ts_000127,It was a long day and he was happy to be outside in the sun. He played and laughed and then it was time to go back inside and go to sleep. Jack was so tired he fell asleep as soon as his head hit the pillow!,positive,50,207,train,18085,keywords=fell,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_065,ts_000176,They wish they had never asked the big kids to share the swings. They wish they had stayed home and played with their toys. They learn a hard lesson: some people are mean and do not like to share.,negative,43,196,train,8070,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_066,ts_000073,Tom and Lucy became good friends. They played and cleaned together every day. And they lived happily ever after.,positive,22,112,train,6215,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_067,ts_000120,She did not know how to be nice to Tom. She did not understand his way of playing. She wished she had a fire truck too.,negative,29,119,train,16747,keywords=did not,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_068,ts_000061,Lily had eaten too much of the bad apple and her tummy couldn't handle it. She had to go to the hospital and stay there for a long time. Lily learned that she should listen to her mom and not eat bad things.,negative,46,207,train,5959,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_069,ts_000071,"They climbed down the tree and got their ice cream. They ate their ice cream together and became friends. From that day on, they always played together at the park.",positive,34,164,train,6150,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_070,ts_000090,"But then, the next morning, she woke up to find that the vest was back in her sack! Kayla was so happy! She thanked her lucky stars and never went anywhere without her sack again.",positive,40,179,train,13802,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_071,ts_000162,The lion was so proud and happy. His friends cheered and congratulated him. He had made it!,positive,20,91,train,7793,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_072,ts_000175,He had solved the problem all by himself. John smiled and laughed with joy now that the itch was gone. He was very happy.,positive,27,121,train,22856,keywords=gone,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_073,ts_000115,"He began to play with it, and soon enough, the fog had gone away. Everything was perfect! Sam was so glad that he wasn't delayed anymore.",positive,31,137,train,16356,keywords=gone,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_074,ts_000150,"She picked up Fred and put him back in her house. She put a bowl of food out for him and she didn't let him out again until she was sure the plastic was all gone. Fred learned his lesson and from that day forward, he only ate the things Mrs Brown recommended.",positive,57,259,train,20673,keywords=gone,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_075,ts_000056,"She thanked the fairy and skipped away, delighted with her newfound wealth. The fairy watched the little girl go and smiled. He would never forget the pure joy on her face.",positive,35,172,train,10192,keywords=never,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_076,ts_000227,"Everyone was happy for them. The moral of the story is that, when two people love each other, marriage is a way to show that special love to the world. Marriage is special and it can bring a lot of joy to a family.",positive,49,214,train,8824,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_077,ts_000230,"The man smiled and said ""Now you can enjoy living with me"". The frog felt disappointed and helpless, not knowing that his new home would be his prison. The poor frog was never able to escape, and he eventually forgot what it felt like to be wild.",negative,54,246,train,8873,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_078,ts_000294,"""The fog is only like a little cloud that can't hurt us. We just have to trust the car and keep driving."" Soon enough, the family arrived at the park, tired but safe. And the fog had disappeared.",positive,46,195,train,9927,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_079,ts_000088,"After playing, they went home and had a yummy dinner. Lily was so tired that she fell asleep right away. She dreamt about the see-saw and how much fun it was to weigh the sides.",positive,41,177,train,13779,keywords=fell,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_080,ts_000116,"Little by little, the storm began to settle and the sky got brighter again. Joe was happy that he was able to see the amazing storm and that he hadn't been too scared to venture out of the house. He learned a valuable lesson that day â€” to never be too shy to explore and try new things.",positive,63,288,train,16390,keywords=never|scared,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_081,ts_000235,"Timmy got very sick and had to go to the hospital. From then on, Lily always checked the candy before she shared it with her friends. The end.",negative,32,142,train,8974,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_082,ts_000116,They guess that he learned that being the best is not important. They guess that he learned that being kind and friendly is important. They guess that he learned that hockey is a game for everyone.,positive,39,197,train,6980,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_083,ts_000203,It was a sight to behold. The audience clapped and cheered as Jack and Jane finished their show. It was a great success!,positive,26,120,train,8552,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_084,ts_000191,"The shopkeeper said, ""You made a great choice!"" Lily thanked the shopkeeper and ran outside with her sunglasses. She had so much fun playing with her new sunglasses. The end.",positive,37,174,train,8381,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_085,ts_000122,"After a while, he woke up feeling energised and happy, ready to go out and dance through the trees again. The bear never forgot that unusual nap, and whenever he felt tired, he stopped and had a nap on the rainbows again. And meanwhile, the bear would always be happy to dance wherever he found rainbows and magic.",positive,66,314,train,17218,keywords=never;too_long,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_086,ts_000152,"The day ended with Lily feeling sad and unsuccessful in making her friend happy. She learned that sometimes people can disagree and it can cause problems. But she also learned that it's important to try and find a solution together, so that everyone can be happy.",negative,50,263,train,20866,keywords=sad,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_087,ts_000168,The soft deer was very happy. She added the apples to her food and shared them with all her friends. They all had a big feast and enjoyed the apples together.,positive,34,158,train,7877,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_088,ts_000088,"Not just anyone can stay here!"" The father and son left feeling sad and scared. They walked on into the night not knowing where they could go. The bad ending is that John never accepted the father and son, and they were out in the cold until the morning.",negative,55,254,train,6420,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_089,ts_000176,"John was locked out of the house, and was forced to stay outside. The next morning he woke up feeling very cold and sad. He had a bad ending to his day, all because of the whistle.",negative,42,180,train,22903,keywords=sad|bad ending,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_090,ts_000008,"Maybe that will help."" Mike smiled as he ate the muffin. His arm still hurt, but he was happy that he had a new friend. They both continued to play in the park and had lots of fun.",positive,44,180,train,5105,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_091,ts_000280,"When it was up on the wall, Lily felt very proud. She smiled and said, ""Thank you, Mom and Dad. Now everyone can see my sun!""",positive,34,125,train,9696,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_092,ts_000052,"They explained to her that it's not nice to be bossy and that everyone should share. Later, Lily saw a sign that said ""Please value the animals and their habitats."" She asked her mom what it meant and her mom explained that it's important to take care of the animals and their homes. As they were leaving the zoo, Lily said goodbye to all the animals and promised to always value and take care of them.",positive,84,402,train,5841,too_long,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_093,ts_000096,Lily and her family were very sad that their hard work was ruined. They had to cancel the party and clean up the mess. It was a very bad ending to their day.,negative,36,157,train,6599,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_094,ts_000134,But they knew they had made a big mistake. They were not excited anymore. They were very sad.,negative,21,93,train,7383,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_095,ts_000109,"While they were printing, Lily's little brother came in and asked for some jelly. Lily shared her jelly with her brother and they happily ate it together while looking at their animal pictures. The end.",positive,39,202,train,6852,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_096,ts_000251,"""It was very special. I was so happy to receive it."" Jack was very happy. He had discovered something special in the dry cave - a letter that made someone very happy.",positive,38,169,train,9232,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_097,ts_000140,"After the party, Lily went home and did some yoga with her mommy. She felt happy and proud of herself for winning the game. And she knew that being modest was important too.",positive,37,173,train,7490,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_098,ts_000066,"After a while, Lily's brother said, ""Let's burn this paper!"" Lily said, ""No, we can't burn things, it's not safe."" Her brother said, ""But I want to see fire."" Lily said, ""Fire can hurt us and burn things we love."" Her brother said, ""Okay, let's not burn things. But I want to be independent."" Lily said, ""What does independent mean?"" Her brother said, ""It means we can do things on our own without help."" Lily said, ""Oh, I understand. But we should always be safe and careful.""",positive,126,477,train,10969,keywords=hurt;too_long,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_099,ts_000015,"See the busy bees? Watch how they fly around and buzz in the flowers."" The little girl was amazed and asked, ""What do they do, Grandpa?"" And Grandpa said, ""The bees tell each other where to find the sweetest flowers and they work together to make honey."" As Grandma watched, she smiled and said, ""Isn't it wonderful how nature teaches us all kinds of things?"" The little girl smiled and nodded. She was glad she had come to visit Grandma and Grandpa because she had learned so much.",positive,107,482,train,5174,too_long,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_100,ts_000197,"Chloe was amazed and hugged her parents tightly. From that day, Chloe never felt alone and scared when walking through the dark woods. The bottle had reminded her that her parents were always there for her.",positive,40,206,train,8462,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_101,ts_000089,"Greene on the leg. Without the help of the little girl, Mrs. Greene was unable to bring the groceries home and was left feeling very sad.",negative,30,137,train,6429,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_102,ts_000031,The ghost was very friendly and they became friends. They played together and had lots of fun. The little boy was not scared of the old ghost anymore.,positive,31,150,train,7987,keywords=scared,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_103,ts_000159,"The sailor was so relieved to have such a reliable friend. Finally, they reached the other island safely. They celebrated with a big hug and kept sailing together to more islands.",positive,35,179,train,7761,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_104,ts_000241,"She gently patted the girl's head and said, ""It's alright. Just don't be so careless when playing with things."" The girl nodded and thanked the old lady for her advice. From that day forward, the girl was more careful when playing with things.",positive,51,243,train,9079,positive_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
ft_105,ts_000196,"The compassionate mom tried to find another toy, but the little girl only wanted the first toy. They went home without a toy, and the little girl cried. The mom was sad too, and they both wished they could have found the toy.",negative,49,225,train,24499,keywords=sad|cried,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_106,ts_000186,"Suddenly, a beautiful butterfly flew by. The rabbits stopped to look at it and the elephants passed them. The rabbits were sad, but they learned that sometimes it's important to focus on the race and not get distracted by beautiful things.",negative,46,239,train,23503,keywords=sad,assistant_manual_review_negative_candidate,finetune_negative_candidates.csv,negative_focused
ft_107,ts_000098,"The people had to print a sign that said ""Race cancelled"". They pointed to the sign and said, ""No more race"". Everyone was disappointed that the race had a bad ending.",negative,39,167,train,6609,negative_ending,assistant_manual_review_general_candidate,finetune_annotation_candidates(1).csv,general
